Series Code,Series Name
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)"
CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP)
FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
FM.LBL.BMNY.ZG,Broad money growth (annual %)
FP.CPI.TOTL,Consumer price index (2010 = 100)
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth)
NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth)
NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
NY.GDP.MKTP.KD.ZG,GDP growth (annual %)
NY.GDP.PCAP.CD,GDP per capita (current US$)
NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %)
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)"
NY.GNS.ICTR.ZS,Gross savings (% of GDP)
PX.REX.REER,Real effective exchange rate index (2010 = 100)
SI.POV.NAGP,Poverty gap at national poverty lines (%)
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
